Connecting to host 10.0.0.1, port 5307
[  5] local 10.0.0.4 port 41850 connected to 10.0.0.1 port 5307
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  7.00 MBytes  58.7 Mbits/sec    0    539 KBytes       
[  5]   1.00-2.00   sec  1.38 MBytes  11.5 Mbits/sec    0   69.3 KBytes       
[  5]   2.00-3.00   sec  1.25 MBytes  10.5 Mbits/sec    0   83.4 KBytes       
[  5]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    0   96.2 KBytes       
[  5]   4.00-5.00   sec  1.38 MBytes  11.5 Mbits/sec    0    110 KBytes       
[  5]   5.00-6.00   sec  1.38 MBytes  11.5 Mbits/sec    0    123 KBytes       
[  5]   6.00-7.00   sec  1.38 MBytes  11.5 Mbits/sec    0    137 KBytes       
[  5]   7.00-8.00   sec  1.38 MBytes  11.5 Mbits/sec    0    151 KBytes       
[  5]   8.00-9.00   sec  1.38 MBytes  11.5 Mbits/sec    0    164 KBytes       
[  5]   9.00-10.00  sec  1.38 MBytes  11.5 Mbits/sec    0    178 KBytes       
[  5]  10.00-11.00  sec  1.25 MBytes  10.5 Mbits/sec    0    192 KBytes       
[  5]  11.00-12.00  sec  2.75 MBytes  23.1 Mbits/sec    0    205 KBytes       
[  5]  12.00-13.00  sec  1.38 MBytes  11.5 Mbits/sec    0    219 KBytes       
[  5]  13.00-14.00  sec  2.75 MBytes  23.1 Mbits/sec    0    233 KBytes       
[  5]  14.00-15.00  sec  1.25 MBytes  10.5 Mbits/sec    0    247 KBytes       
[  5]  15.00-16.00  sec  2.75 MBytes  23.1 Mbits/sec    0    260 KBytes       
[  5]  16.00-17.00  sec  2.75 MBytes  23.1 Mbits/sec    0    274 KBytes       
[  5]  17.00-18.00  sec  2.75 MBytes  23.1 Mbits/sec    0    288 KBytes       
[  5]  18.00-19.00  sec  2.62 MBytes  22.0 Mbits/sec    0    301 KBytes       
[  5]  19.00-20.00  sec  2.75 MBytes  23.1 Mbits/sec    0    315 KBytes       
[  5]  20.00-21.00  sec  2.75 MBytes  23.1 Mbits/sec    0    329 KBytes       
[  5]  21.00-22.00  sec  2.62 MBytes  22.0 Mbits/sec    0    344 KBytes       
[  5]  22.00-23.00  sec  4.12 MBytes  34.6 Mbits/sec    0    352 KBytes       
[  5]  23.00-24.00  sec  2.75 MBytes  23.1 Mbits/sec    0    365 KBytes       
[  5]  24.00-25.00  sec  4.00 MBytes  33.6 Mbits/sec    0    379 KBytes       
[  5]  25.00-26.00  sec  4.12 MBytes  34.6 Mbits/sec    0    393 KBytes       
[  5]  26.00-27.00  sec  2.62 MBytes  22.0 Mbits/sec    0    406 KBytes       
[  5]  27.00-28.00  sec  4.12 MBytes  34.6 Mbits/sec    0    420 KBytes       
[  5]  28.00-29.00  sec  4.00 MBytes  33.6 Mbits/sec    0    434 KBytes       
[  5]  29.00-30.00  sec  4.12 MBytes  34.6 Mbits/sec    0    448 KBytes       
[  5]  30.00-31.00  sec  4.00 MBytes  33.6 Mbits/sec    0    461 KBytes       
[  5]  31.00-32.00  sec  5.50 MBytes  46.1 Mbits/sec    0    475 KBytes       
[  5]  32.00-33.00  sec  4.00 MBytes  33.6 Mbits/sec    0    489 KBytes       
[  5]  33.00-34.00  sec  4.12 MBytes  34.6 Mbits/sec    0    503 KBytes       
[  5]  34.00-35.00  sec  5.38 MBytes  45.1 Mbits/sec    0    516 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-35.00  sec  99.1 MBytes  23.8 Mbits/sec    0             sender
[  5]   0.00-35.10  sec  96.9 MBytes  23.2 Mbits/sec                  receiver

iperf Done.
